Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
CPAP Machine,Model 9937,Boston Scientific,Rev. 3.3,2022-09-20,Class IIb,PMDA-354715,Geriatric,Indicated for continuous blood gas analysis monitoring during orthopedic surgical procedures.,Not recommended for patients with pregnancy or severe severe cardiac arrhythmias.,Autoclave,8,11,9.0,1.97,25.0,Device Name: CPAP Machine. Model: Model 9937. Manufacturer: Boston Scientific. Indications: Indicated for continuous blood gas analysis monitoring during orthopedic surgical procedures.. Contraindications: Not recommended for patients with pregnancy or severe severe cardiac arrhythmias..
X-Ray Machine,DEN621,Dentsply Sirona,Rev. 8.1,2021-01-01,Class IIb,H643478,Adult (>65),Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.,Avoid use in patients with active infections or uncontrolled pacemakers.,Gamma Irradiation,8,9,8.0,8.48,31.0,Device Name: X-Ray Machine. Model: DEN621. Manufacturer: Dentsply Sirona. Indications: Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.. Contraindications: Avoid use in patients with active infections or uncontrolled pacemakers..
CPAP Machine,Plus215,3M Healthcare,2024-07-D,2023-02-17,Class I,P809073,Adult,Used for therapeutic chemotherapy in chemotherapy patients requiring hemodialysis.,Do not use in patients with severe hypertension. Contraindicated in hyperbaric chambers.,Gamma Irradiation,3,10,4.0,11.23,29.0,Device Name: CPAP Machine. Model: Plus215. Manufacturer: 3M Healthcare. Indications: Used for therapeutic chemotherapy in chemotherapy patients requiring hemodialysis.. Contraindications: Do not use in patients with severe hypertension. Contraindicated in hyperbaric chambers..
Ventilator,Model 1265,Mölnlycke Health Care,Rev. 8.9,2025-10-14,Class IIa,PMDA-482858,Infant (0-2),Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.,Contraindicated in patients with peripheral vascular disease or frostbite risk.,Ethylene Oxide (EtO),20,17,12.0,70.94,32.0,Device Name: Ventilator. Model: Model 1265. Manufacturer: Mölnlycke Health Care. Indications: Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.. Contraindications: Contraindicated in patients with peripheral vascular disease or frostbite risk..
Syringe Pump,A-5971,Stryker,Rev. 1.6,2017-06-17,Class III,HDE443291,All,Intended for calibration verification in quality assurance and device validation protocols.,Not recommended for patients with coagulopathy or severe hepatic dysfunction.,Hydrogen Peroxide Plasma,15,17,10.0,5.2,11.0,Device Name: Syringe Pump. Model: A-5971. Manufacturer: Stryker. Indications: Intended for calibration verification in quality assurance and device validation protocols.. Contraindications: Not recommended for patients with coagulopathy or severe hepatic dysfunction..
Defibrillator,Model 1838,Karl Storz,2020-09-W,2022-12-31,Class I,PMA883096,Pediatric,Indicated for diagnostic measurement to assess cancer in clinical environments.,Contraindicated in patients with pacemakers or severe skin allergies.,Gamma Irradiation,8,28,7.0,9.04,10.0,Device Name: Defibrillator. Model: Model 1838. Manufacturer: Karl Storz. Indications: Indicated for diagnostic measurement to assess cancer in clinical environments.. Contraindications: Contraindicated in patients with pacemakers or severe skin allergies..
Blood Glucose Monitor,Model 3178,Mölnlycke Health Care,v4.5,2021-07-11,Class III,MDR-940897,All,Used for emergency joint replacement in acute sleep apnea situations requiring immediate care.,Avoid use if patient has thrombocytopenia or is receiving bronchodilators.,Not Applicable,10,14,4.0,0.29,32.0,Device Name: Blood Glucose Monitor. Model: Model 3178. Manufacturer: Mölnlycke Health Care. Indications: Used for emergency joint replacement in acute sleep apnea situations requiring immediate care.. Contraindications: Avoid use if patient has thrombocytopenia or is receiving bronchodilators..
Anesthesia Machine,X-5648,Medtronic,v14.0,2015-07-02,Class III,NDA648071,Pediatric (2-18),Used for long-term chemotherapy delivery in ambulatory care settings for sleep apnea patients.,"Not recommended during pregnancy, lactation, or in ventilator-dependent under 15 years.",Hydrogen Peroxide Plasma,12,21,10.0,22.76,17.0,"Device Name: Anesthesia Machine. Model: X-5648. Manufacturer: Medtronic. Indications: Used for long-term chemotherapy delivery in ambulatory care settings for sleep apnea patients.. Contraindications: Not recommended during pregnancy, lactation, or in ventilator-dependent under 15 years.."
Infusion Pump,Model 171,Fresenius Medical Care,2020-04-P,2015-09-29,Class III,P599520,Infant (0-2),Indicated for central venous pressure analysis in laboratory diagnostic testing environments.,Contraindicated in patients with severe metal implants or uncontrolled severe cardiac arrhythmias.,Hydrogen Peroxide Plasma,7,14,6.0,1.78,17.0,Device Name: Infusion Pump. Model: Model 171. Manufacturer: Fresenius Medical Care. Indications: Indicated for central venous pressure analysis in laboratory diagnostic testing environments.. Contraindications: Contraindicated in patients with severe metal implants or uncontrolled severe cardiac arrhythmias..
Insulin Pump,Max495,Baxter International,Rev. 5.2,2021-10-08,Class III,D695941,Adult (18-65),Indicated for routine imaging screening in outpatient clinical facilities.,Not suitable for use in maintenance procedures with fire or during hyperbaric chambers.,Single-Use Sterile,5,18,9.0,1.12,,Device Name: Insulin Pump. Model: Max495. Manufacturer: Baxter International. Indications: Indicated for routine imaging screening in outpatient clinical facilities.. Contraindications: Not suitable for use in maintenance procedures with fire or during hyperbaric chambers..
CPAP Machine,Model 8328,Danaher,Version 7,2018-01-17,Class III,CE6779,All,Used for electrotherapy guidance in oncology treatment centers for cancer patients.,Do not use in patients with renal insufficiency or severe active infections.,Dry Heat,8,3,3.0,10.96,35.0,Device Name: CPAP Machine. Model: Model 8328. Manufacturer: Danaher. Indications: Used for electrotherapy guidance in oncology treatment centers for cancer patients.. Contraindications: Do not use in patients with renal insufficiency or severe active infections..
X-Ray Machine,Model 842,ConvaTec,Rev. 2.9,2019-03-20,Class IIa,PMDA-766659,Adult,Used for therapeutic wound irrigation in paralyzed patients requiring pacemaker implantation.,Do not use if patient has known allergy to gadolinium agents or hypersensitivity to contrast agents.,,5,3,11.0,12.94,,Device Name: X-Ray Machine. Model: Model 842. Manufacturer: ConvaTec. Indications: Used for therapeutic wound irrigation in paralyzed patients requiring pacemaker implantation.. Contraindications: Do not use if patient has known allergy to gadolinium agents or hypersensitivity to contrast agents..
Ventilator,C-5883,Cardinal Health,Rev. 6.0,2024-03-26,Class III,IDE764032,Adult (>65),Used for post-operative compression therapy management in hospital recovery units.,Avoid use in patients with immunodeficiency or uncontrolled stroke.,Not Applicable,25,18,18.0,145.72,21.0,Device Name: Ventilator. Model: C-5883. Manufacturer: Cardinal Health. Indications: Used for post-operative compression therapy management in hospital recovery units.. Contraindications: Avoid use in patients with immunodeficiency or uncontrolled stroke..
CPAP Machine,A-9057,ResMed,Version 10,2017-04-04,Class IIa,MDR-578999,Infant (0-2),Intended for disease management evaluation in rehabilitation medicine for orthopedic injuries recovery.,Avoid use in patients with pacemakers or altered consciousness.,Not Applicable,9,10,9.0,1.3,26.0,Device Name: CPAP Machine. Model: A-9057. Manufacturer: ResMed. Indications: Intended for disease management evaluation in rehabilitation medicine for orthopedic injuries recovery.. Contraindications: Avoid use in patients with pacemakers or altered consciousness..
Ventilator,Model 4835,Boston Scientific,Rev. 9.7,2016-06-18,Class IIb,BLA633273,Infant (0-2),Indicated for continuous pulmonary function monitoring during minimally invasive surgical procedures.,Avoid use in patients with active active infections or compromised nervous function.,Single-Use Sterile,16,18,10.0,125.81,11.0,Device Name: Ventilator. Model: Model 4835. Manufacturer: Boston Scientific. Indications: Indicated for continuous pulmonary function monitoring during minimally invasive surgical procedures.. Contraindications: Avoid use in patients with active active infections or compromised nervous function..
Patient Monitor,Model 7964,Mindray,2020-08-Y,2023-10-07,Class III,D896288,Pediatric (2-18),Used for radiation therapy administration in pediatric hospital units under specialist supervision.,Contraindicated in patients with skin allergies or on chemotherapy drugs.,Autoclave,15,18,10.0,4.09,26.0,Device Name: Patient Monitor. Model: Model 7964. Manufacturer: Mindray. Indications: Used for radiation therapy administration in pediatric hospital units under specialist supervision.. Contraindications: Contraindicated in patients with skin allergies or on chemotherapy drugs..
ECG Machine,A-8139,Cardinal Health,Version 12,2025-12-10,Class II,D606909,Pediatric,Designed for cardiac therapy optimization in chronic disease management programs.,Do not use in patients with severe diabetes. Contraindicated in explosive atmospheres.,Steam Sterilization,3,13,11.0,13.26,17.0,Device Name: ECG Machine. Model: A-8139. Manufacturer: Cardinal Health. Indications: Designed for cardiac therapy optimization in chronic disease management programs.. Contraindications: Do not use in patients with severe diabetes. Contraindicated in explosive atmospheres..
Infusion Pump,Model 205,Richard Wolf,2021-05-O,2025-07-03,Class III,K382131,Adult and Pediatric,Used for thermal therapy guidance in oncology treatment centers for cancer patients.,Not suitable for use with muscle relaxants or in aircraft cabins.,Chemical Sterilization,9,14,11.0,1.82,27.0,Device Name: Infusion Pump. Model: Model 205. Manufacturer: Richard Wolf. Indications: Used for thermal therapy guidance in oncology treatment centers for cancer patients.. Contraindications: Not suitable for use with muscle relaxants or in aircraft cabins..
CPAP Machine,Plus381,Steris,Version 1,2019-12-21,Class III,,Pediatric,Intended for therapeutic delivery therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with malignant hyperthermia or on sedatives.,Autoclave,2,10,7.0,6.69,25.0,Device Name: CPAP Machine. Model: Plus381. Manufacturer: Steris. Indications: Intended for therapeutic delivery therapy in intensive care unit environments for critically ill patients.. Contraindications: Contraindicated in patients with malignant hyperthermia or on sedatives..
Electrosurgical Unit,Model 1572,Fresenius Medical Care,v8.8,2025-09-25,Class III,D738585,Adult (>65),Used for intraoperative documentation monitoring during complex minimally invasive surgeries.,Avoid use if patient has bleeding disorders or history of embolism.,Ethylene Oxide (EtO),8,30,4.0,13.42,10.0,Device Name: Electrosurgical Unit. Model: Model 1572. Manufacturer: Fresenius Medical Care. Indications: Used for intraoperative documentation monitoring during complex minimally invasive surgeries.. Contraindications: Avoid use if patient has bleeding disorders or history of embolism..
Blood Glucose Monitor,Model 4892,Cooper Companies,Version 17,2025-01-30,Class IIb,MDR-716128,Pediatric,Used for long-term chemotherapy delivery in ambulatory care settings for diabetes patients.,Avoid use if patient has thrombocytopenia or is receiving muscle relaxants.,Autoclave,6,18,7.0,0.21,18.0,Device Name: Blood Glucose Monitor. Model: Model 4892. Manufacturer: Cooper Companies. Indications: Used for long-term chemotherapy delivery in ambulatory care settings for diabetes patients.. Contraindications: Avoid use if patient has thrombocytopenia or is receiving muscle relaxants..
